City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,thinadhoo,0.5333,72.9333,28.54,75,100,4.46,MV,1722810176
271,nizhniy kuranakh,58.8353,125.4869,14.16,98,100,1.02,RU,1722810176
272,uturoa,-16.7333,-151.4333,24.55,71,3,7.71,PF,1722810176
273,georgetown,5.4112,100.3354,26.96,83,20,0.0,MY,1722810176
274,kingscliff,-28.2667,153.5667,15.43,88,75,1.03,AU,1722810176
275,lubang,13.8584,120.124,28.21,78,100,6.81,PH,1722810176
276,lycksele,64.5954,18.6735,13.93,94,40,0.0,SE,1722810177
277,crane,31.3974,-102.3501,36.67,20,35,3.79,US,1722810177
278,newman,37.3138,-121.0208,38.88,12,0,1.36,US,1722810107
279,katabu,-4.9333,122.5167,23.28,91,62,1.35,ID,1722810177
280,ust-nera,64.5667,143.2,13.36,65,24,1.76,RU,1722810177
281,sitka,57.0531,-135.33,23.94,50,0,2.57,US,1722810058
282,nova xavantina,-14.6667,-52.35,25.81,32,0,1.55,BR,1722810177
283,kigali,-1.95,30.0588,20.71,43,20,1.54,RW,1722809886
284,kangding,30.0513,101.9603,14.15,89,6,2.63,CN,1722810178
285,dudinka,69.4058,86.1778,5.78,69,0,6.55,RU,1722810178
286,greytown,-29.0642,30.5928,12.11,87,100,2.7,ZA,1722810178
287,teguise,29.0605,-13.564,21.12,73,20,7.2,ES,1722810178
288,rongelap,11.1635,166.8941,28.54,79,50,4.96,MH,1722810178
289,kampene,-3.6,26.6667,24.88,35,58,0.44,CD,1722810178
290,castillos,-34.1667,-53.8333,9.9,80,100,2.21,UY,1722810179
291,qaqortoq,60.7167,-46.0333,7.54,76,0,2.26,GL,1722809977
292,lata,40.1629,-8.3327,17.82,95,0,1.27,PT,1722810179
293,rantepao,-2.9701,119.8978,17.32,97,39,1.02,ID,1722810179
294,salekhard,66.53,66.6019,9.4,62,100,10.01,RU,1722810179
295,gamba,-2.65,10.0,21.32,78,90,2.5,GA,1722810179
296,ust'-kut,56.7938,105.7672,13.11,96,59,1.5,RU,1722810180
297,camana,-16.6228,-72.7111,15.87,81,47,3.28,PE,1722810180
298,linqiong,30.4159,103.4609,24.9,91,0,0.52,CN,1722810180
299,kununurra,-15.7667,128.7333,15.99,94,2,0.0,AU,1722810180
300,meadow lake,34.8014,-106.5436,35.81,23,100,3.54,US,1722810180
301,vasil'yevo,55.836,48.6582,19.37,88,100,4.27,RU,1722810181
302,buritizeiro,-17.3511,-44.9622,24.0,36,8,1.32,BR,1722810181
303,egersund,58.4513,5.9997,12.83,84,0,4.45,NO,1722810181
304,wayne,42.2506,-83.2833,31.68,58,75,5.14,US,1722810182
305,lockwood,45.8191,-108.4149,31.94,38,100,4.12,US,1722810182
306,muana,-1.5283,-49.2167,27.33,53,9,1.8,BR,1722810182
307,ola,59.5833,151.2833,14.1,79,17,1.01,RU,1722810182
308,skelleftea,64.7507,20.9528,15.56,100,16,1.54,SE,1722810182
309,kruisfontein,-34.0033,24.7314,9.38,63,87,7.09,ZA,1722810182
310,aykhal,66.0,111.5,16.19,52,57,3.17,RU,1722810183
311,white hall,34.274,-92.091,33.84,60,20,4.12,US,1722810183
312,chernyshevsk,52.5243,117.0174,13.59,91,99,1.32,RU,1722810183
313,hell-ville,-13.4,48.2667,23.69,63,11,2.37,MG,1722810183
314,chul'man,56.8479,124.9104,12.49,99,100,0.82,RU,1722810183
315,richards bay,-28.783,32.0377,19.93,68,25,8.67,ZA,1722809984
316,banda aceh,5.5577,95.3222,26.77,81,100,5.13,ID,1722810183
317,tsiombe,-25.3,45.4833,16.34,93,0,2.18,MG,1722810184
318,mata-utu,-13.2816,-176.1745,26.9,72,59,4.08,WF,1722810184
319,tabou,4.423,-7.3528,24.36,84,94,2.27,CI,1722810085
320,pangai,-19.8,-174.35,24.06,83,75,2.57,TO,1722810184
321,carutapera,-1.195,-46.02,26.01,77,53,3.89,BR,1722810184
322,al marj,32.488,20.8317,24.3,65,0,2.57,LY,1722810184
323,yarmouth,41.7057,-70.2286,26.75,86,100,9.26,US,1722810185
324,lesnoy,57.6198,63.0784,13.72,96,50,2.06,RU,1722810185
325,juan griego,11.0817,-63.9655,36.07,49,99,7.2,VE,1722810185
326,baker city,44.7749,-117.8344,33.84,26,0,0.0,US,1722810185
327,vuktyl,63.8567,57.3094,15.46,82,87,3.58,RU,1722810185
328,port hedland,-20.3167,118.5667,13.03,82,0,3.09,AU,1722810185
329,villa gesell,-37.2639,-56.973,9.47,57,75,3.6,AR,1722810083
330,rolla,37.9514,-91.7713,34.28,46,0,2.06,US,1722810186
331,aral,40.5156,81.2636,25.96,38,59,2.69,CN,1722810186
332,xinyuan,37.3,99.0,5.62,91,1,1.72,CN,1722810186
333,ulsteinvik,62.3432,5.8487,15.17,91,100,1.22,NO,1722810186
334,hilo,19.7297,-155.09,27.83,81,100,2.24,US,1722810186
335,luwuk,-0.9516,122.7875,21.8,90,72,2.12,ID,1722810082
336,kayenta,36.7278,-110.2546,33.61,17,41,5.13,US,1722810187
337,at taj,24.2049,23.2857,28.48,18,6,4.66,LY,1722810187
338,nelson bay,-32.7167,152.15,12.28,95,100,0.89,AU,1722810187
339,oranjemund,-28.55,16.4333,11.25,80,3,3.31,NA,1722809918
340,nallihan,40.1859,31.3518,20.31,64,9,2.58,TR,1722810187
341,queenstown,-31.8976,26.8753,7.9,77,100,2.43,ZA,1722810187
342,guiuan,11.0333,125.7247,28.21,77,100,7.35,PH,1722810188
343,beyneu,45.3167,55.2,29.94,29,66,2.57,KZ,1722810188
344,mahanoro,-19.9,48.8,17.53,88,8,2.06,MG,1722810188
345,san matias,-16.3667,-58.4,33.01,22,30,2.78,BO,1722810188
346,utrik,11.2278,169.8474,28.42,79,46,6.53,MH,1722810188
347,yasinya,48.2794,24.3604,11.81,92,38,0.19,UA,1722810189
348,port lincoln,-34.7333,135.8667,10.81,80,87,1.36,AU,1722810189
349,tailai,46.3833,123.4,22.41,96,90,2.85,CN,1722810189
350,shirvan,39.9509,48.8994,26.39,65,0,1.06,AZ,1722810189
351,nema,57.5067,50.5011,17.44,79,100,2.1,RU,1722810189
352,westport,41.1415,-73.3579,25.1,87,47,4.47,US,1722810002
353,ad darb,17.7229,42.2526,31.16,71,100,5.65,SA,1722810190
354,balabac,7.9868,117.0645,26.83,81,100,2.12,PH,1722810190
355,nchelenge,-9.3451,28.734,19.16,34,0,1.88,ZM,1722810190
356,kidatu,-7.6992,36.9572,19.16,68,0,0.76,TZ,1722810190
357,waingapu,-9.6567,120.2641,23.69,82,60,3.99,ID,1722810190
358,kingston,17.997,-76.7936,31.53,74,20,8.75,JM,1722810115
359,selfoss,63.9331,-20.9971,11.14,87,100,10.07,IS,1722810191
360,la'ie,21.6477,-157.9253,30.98,71,42,4.02,US,1722810191
361,khrystynivka,48.8249,29.9681,15.38,70,33,3.47,UA,1722810191
362,floro,61.5996,5.0328,14.98,82,100,2.06,NO,1722810112
363,hays,30.0502,-98.0336,35.86,50,76,3.44,US,1722810191
364,eyl,7.9803,49.8164,24.73,79,59,10.14,SO,1722810192
365,vakarai,55.6035,23.8213,16.29,81,62,0.77,LT,1722810192
366,barclayville,4.6797,-8.2339,23.26,86,95,1.52,LR,1722810192
367,touros,-5.1989,-35.4608,24.24,77,3,6.29,BR,1722810192
368,mingguang,32.7802,117.9638,27.72,66,0,1.65,CN,1722810192
369,altai,46.3722,96.2583,14.19,43,7,0.81,MN,1722810192
370,robertsport,6.7533,-11.3686,25.31,84,100,3.7,LR,1722810193
371,murrhardt,48.9819,9.5705,19.27,92,88,1.19,DE,1722810193
372,hadibu,12.65,54.0333,25.76,81,97,9.0,YE,1722810126
373,lewistown,40.5992,-77.5714,31.6,76,0,3.69,US,1722810193
374,greymouth,-42.4667,171.2,6.39,87,100,2.91,NZ,1722810193
375,hasaki,35.7333,140.8333,28.22,81,2,1.12,JP,1722810193
376,guerrero negro,27.9769,-114.0611,26.48,55,23,7.15,MX,1722810193
377,urengoy,65.9667,78.3667,11.74,58,100,7.05,RU,1722810194
378,camiri,-20.05,-63.5167,24.45,51,20,2.25,BO,1722810194
379,agat village,13.3886,144.6585,27.06,88,40,2.57,GU,1722810194
380,saynshand,44.8824,110.1163,21.62,41,1,2.97,MN,1722810194
381,yerofey pavlovich,53.9667,121.9667,15.79,99,100,1.14,RU,1722810194
382,lagunillas,10.1301,-71.2595,31.24,65,0,3.94,VE,1722810194
383,daru,-9.0763,143.2092,24.17,89,100,6.05,PG,1722810194
384,saint-pierre,-21.3393,55.4781,17.82,63,20,3.6,RE,1722810195
385,praia da vitoria,38.7333,-27.0667,26.14,78,20,2.96,PT,1722810195
386,mejit,10.2753,170.8646,28.5,79,13,6.33,MH,1722810195
387,chhor,25.5167,69.7667,28.64,83,58,3.92,PK,1722810195
388,shengli,37.4564,118.4856,25.71,93,100,1.98,CN,1722810195
389,cockburn town,21.4612,-71.1419,28.26,84,98,9.23,TC,1722809908
390,dongola,19.1667,30.4833,34.43,45,84,6.52,SD,1722810196
391,sarupathar,26.1984,93.8094,24.79,98,100,1.22,IN,1722810196
392,kralendijk,12.15,-68.2667,30.99,70,20,6.69,BQ,1722810196
393,lorengau,-2.0226,147.2712,27.58,79,100,3.18,PG,1722810196
394,st. john's,47.5649,-52.7093,22.38,96,100,6.17,CA,1722810196
395,makassar,-5.14,119.4221,20.03,83,20,1.03,ID,1722809828
396,khovd,48.0056,91.6419,19.34,36,0,1.31,MN,1722810196
397,olyokminsk,60.3736,120.4264,15.09,98,100,2.35,RU,1722810197
398,sinabang,2.4803,96.3801,25.8,84,99,1.73,ID,1722810197
399,beau vallon,-20.4189,57.6953,19.01,88,40,2.06,MU,1722810197
400,gizo,-8.103,156.8419,26.63,81,100,1.18,SB,1722810197
401,ouesso,1.6136,16.0517,21.65,94,82,1.27,CG,1722810197
402,faya-largeau,17.9257,19.1043,31.7,52,93,5.09,TD,1722810198
403,guarapari,-20.6667,-40.4975,21.05,85,1,4.11,BR,1722810198
404,beneditinos,-5.45,-42.3667,27.73,31,0,1.03,BR,1722810198
405,mangrol,21.1167,70.1167,27.33,88,100,8.32,IN,1722810198
406,vilyuysk,63.7553,121.6247,15.1,57,95,2.82,RU,1722809907
407,manokwari,-0.8667,134.0833,24.18,95,100,2.32,ID,1722810198
408,tadine,-21.55,167.8833,21.24,59,67,6.58,NC,1722810198
409,stantsiya novyy afon,43.0806,40.8383,23.19,87,0,2.08,GE,1722810199
410,garachico,28.7781,-17.7646,22.49,78,20,6.17,ES,1722810199
411,tofol,5.3248,163.0078,29.88,74,75,3.09,FM,1722810199
412,nizhneudinsk,54.9076,99.0276,11.44,90,0,0.8,RU,1722810199
413,karatsu,33.4425,129.9697,30.94,84,94,0.7,JP,1722810199
414,ra-ngae,6.2968,101.7284,26.18,96,100,1.94,TH,1722810199
415,manay,7.215,126.5397,24.17,85,100,2.09,PH,1722810200
416,benguela,-12.5763,13.4055,19.7,83,100,1.95,AO,1722810200
417,devils lake,48.1128,-98.8651,21.99,53,20,4.12,US,1722810200
418,kyshtovka,56.555,76.6271,16.24,95,96,2.57,RU,1722810132
419,brookings,44.3114,-96.7984,23.19,82,0,5.66,US,1722810200
420,dolisie,-4.1997,12.6739,19.36,79,71,2.7,CG,1722810200
